Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount	Apr12_percell	May17_percell
H1	CONTROL	0	Yes	1.240328392	5.876794046	1.476581419	231	3.100820979	18.48679936	927.2931309	1118	0.005369387	0.002773543
H2	RU+UR		No	0.088594885	2.303467013	459.2168212	27	0.679227453	4.518339141	228.8701199	79	0.003281292	0.008597816
H3	8°„C	8	No	0.236253027	0.738290709	0	21	1.151733507	1.240328392	98.93095505	97	0.011250144	0.011873541
H4	4°„C	4	No	0.442974426	1.801429331	100.4075365	125	0.885948851	6.053983817	305.6523537	77	0.003543795	0.011505829
H5	2°„C	2	No	2.628314925	26.75565531	4.429744256	398	5.168034965	29.26584372	1466.245349	439	0.006603806	0.011772289
H6	URBAN		Yes	0.265784655	1.033606993	2.953162837	122	0.590632567	2.953162837	150.6113047	305	0.002178563	0.0019365
H7	7°„C	7	Yes	2.155808871	3.602858662	10.33606993	630	0	8.446045715	425.2554486	307	0.003421919	0
H8	4°„C	4	Yes	1.742366074	3.80958006	5.906325675	440	0.118126513	17.57131888	881.519107	1149	0.003959923	0.000102808
H9	1°„C	1	Yes	0.738290709	3.425668891	156.5176304	62	0	4.518339141	220.0106314	355	0.011907915	0
H10	CONTROL	0	Yes	0.35437954	1.919555844	0	536	0	3.868643317	183.0960959	1845	0.000661156	0
H11	4°„C	4	No	3.100820979	6.467426614	16.24239561	491	4.754592168	9.391057823	472.506054	648	0.006315318	0.007337334
H12	RU+UR		Yes	0.383911169	3.63239029	159.4707932	75	0	8.564172228	431.1617743	74	0.005118816	0
