Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.009843876	Post	-4.620905743	0
F6	5°„C	5°„C	NONE		Ammonia	0.003474309	Post	-5.662359669	5
F7	8°„C	8°„C	NONE		Ammonia	0.020523714	Post	-3.886174281	8
F8	2°„C	2°„C	NONE		No Ammonia	0.006877229	Post	-4.97953947	2
F9	RU	0°„C	RU	RU	No Ammonia	0.056205357	Post	-2.878743206	0
F10	6°„C	6°„C	NONE		Ammonia	0	Post	#NAME?	6
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.005135935	Post	-5.271493368	0
F12	2°„C	2°„C	NONE		Ammonia	0.000861339	Post	-7.057022403	2
G1	2°„C	2°„C	NONE		No Ammonia	0	Post	#NAME?	2
G2	1°„C	1°„C	NONE		Ammonia	0.002128406	Post	-6.152381936	1
G3	2°„C	2°„C	NONE		No Ammonia	0.001272915	Post	-6.666445733	2
G4	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	0.005699086	Post	-5.167449468	4
G5	3°„C	3°„C	NONE		No Ammonia	0.000386877	Post	-7.857403745	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.027518108	Post	-3.592911018	0
G7	RU	0°„C	RU	RU	Ammonia	0.033278178	Post	-3.402853412	0
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.000509166	Post	-7.582736465	0
G9	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	0.00236253	Post	-6.0480222	4
G10	2°„C	2°„C	NONE		No Ammonia	0.00032275	Post	-8.038632528	2
G11	5°„C	5°„C	NONE		Ammonia	0.000903243	Post	-7.009518938	5
G12	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	0.016074177	Post	-4.130541208	4
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	0.002773543	Post	-5.887629715	0
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.008597816	Post	-4.756247061	0
H3	8°„C	8°„C	NONE		No Ammonia	0.011873541	Post	-4.4334428	8
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	0.011505829	Post	-4.464901502	4
H5	2°„C	2°„C	NONE		No Ammonia	0.011772289	Post	-4.442006899	2
H6	UR	0°„C	UR	UR	Ammonia	0.0019365	Post	-6.246873059	0
H7	7°„C	7°„C	NONE		Ammonia	0	Post	#NAME?	7
H8	4°„C	4°„C	NONE	4°„C	Ammonia	0.000102808	Post	-9.182647387	4
H9	1°„C	1°„C	NONE		Ammonia	0	Post	#NAME?	1
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	0	Post	#NAME?	0
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	0.007337334	Post	-4.914779718	4
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0	Post	#NAME?	0
