Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP_max	Year	ATP
E11	3°„C	3°„C	NONE		Ammonia	114	2021	3.36660563463469
E12	UR	0°„C	UR	UR	Ammonia	70	2021	2.0672139861792
F1	RU	0°„C	RU	RU	Ammonia	98	2021	2.89409958065088
F2	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	50	2021	1.47658141869943
F3	4°„C	4°„C	NONE	4°„C	Ammonia	110	2021	3.24847912113874
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	68	2021	2.00815072943122
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	178	2021	5.25662985056996
F6	5°„C	5°„C	NONE		Ammonia	133	2021	3.92770657374048
F7	8°„C	8°„C	NONE		Ammonia	232	2021	6.85133778276534
F8	2°„C	2°„C	NONE		No Ammonia	134	2021	3.95723820211446
F9	RU	0°„C	RU	RU	No Ammonia	94	2021	2.77597306715492
F10	6°„C	6°„C	NONE		Ammonia	86	2021	2.53972004016301
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	151	2021	4.45927588447227
F12	2°„C	2°„C	NONE		Ammonia	81	2021	2.39206189829307
G1	2°„C	2°„C	NONE		No Ammonia	74	2021	2.18534049967515
G2	1°„C	1°„C	NONE		Ammonia	57	2021	1.68330281731735
G3	2°„C	2°„C	NONE		No Ammonia	105	2021	3.1008209792688
G4	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	92	2021	2.71690981040695
G5	3°„C	3°„C	NONE		No Ammonia	85	2021	2.51018841178903
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	86	2021	2.53972004016301
G7	RU	0°„C	RU	RU	Ammonia	102	2021	3.01222609414683
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	262	2021	7.737286633985
G9	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	54	2021	1.59470793219538
G10	2°„C	2°„C	NONE		No Ammonia	583	2021	17.2169393420353
G11	5°„C	5°„C	NONE		Ammonia	490	2021	14.4704979032544
G12	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	73	2021	2.15580887130116
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	100	2021	2.95316283739885
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	42	2021	1.24032839170752
H3	8°„C	8°„C	NONE		No Ammonia	462	2021	13.6436123087827
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	22	2021	0.649695824227748
H5	2°„C	2°„C	NONE		No Ammonia	166	2021	4.9022503100821
H6	UR	0°„C	UR	UR	Ammonia	87	2021	2.569251668537
H7	7°„C	7°„C	NONE		Ammonia	25	2021	0.738290709349714
H8	4°„C	4°„C	NONE	4°„C	Ammonia	126	2021	3.72098517512256
H9	1°„C	1°„C	NONE		Ammonia	65	2021	1.91955584430926
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	247	2021	7.29431220837517
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	140	2021	4.1344279723584
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	100	2021	2.95316283739885
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	565	2022	16.6853700313035
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	410	2022	12.1079676333353
A3	5°„C	5°„C	NONE		No Ammonia	57	2022	1.68330281731735
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	67	2022	1.97861910105723
A5	1°„C	1°„C	NONE		No Ammonia	31	2022	0.915480479593645
A6	4°„C	4°„C	NONE	4°„C	Ammonia	136	2022	4.01630145886244
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	37	2022	1.09267024983758
A8	5°„C	5°„C	NONE		No Ammonia	33	2022	0.974543736341622
A9	2°„C	2°„C	NONE		Ammonia	456	2022	13.4664225385388
A10	UR	0°„C	UR	UR	No Ammonia	118	2022	3.48473214813065
A11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	9	2022	0.265784655365897
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	33	2022	0.974543736341622
B1	1°„C	1°„C	NONE		No Ammonia	154	2022	4.54787076959424
B2	UR	0°„C	UR	UR	Ammonia	111	2022	3.27801074951273
B3	6°„C	6°„C	NONE		No Ammonia	158	2022	4.66599728309019
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	226	2022	6.67414801252141
B5	RU	0°„C	RU	RU	No Ammonia	326	2022	9.62731084992027
B6	7°„C	7°„C	NONE		No Ammonia	284	2022	8.38698245821275
B7	3°„C	3°„C	NONE		No Ammonia	342	2022	10.0998169039041
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	301	2022	8.88902014057055
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	85	2022	2.51018841178903
B10	8°„C	8°„C	NONE		No Ammonia	78	2022	2.30346701317111
B11	2°„C	2°„C	NONE		Ammonia	101	2022	2.98269446577284
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	142	2022	4.19349122910637
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	223	2022	6.58555312739944
C2	2°„C	2°„C	NONE		Ammonia	91	2022	2.68737818203296
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	103	2022	3.04175772252082
C4	8°„C	8°„C	NONE		Ammonia	44	2022	1.2993916484555
C5	2°„C	2°„C	NONE		Ammonia	169	2022	4.99084519520406
C6	RU	0°„C	RU	RU	No Ammonia	84	2022	2.48065678341504
C7	2°„C	2°„C	NONE		No Ammonia	30	2022	0.885948851219656
C8	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	161	2022	4.75459216821216
C9	UR	0°„C	UR	UR	No Ammonia	251	2022	7.41243872187112
C10	4°„C	4°„C	NONE	4°„C	Ammonia	216	2022	6.37883172878153
C11	7°„C	7°„C	NONE		No Ammonia	67	2022	1.97861910105723
C12	RU	0°„C	RU	RU	Ammonia	127	2022	3.75051680349655
D1	RU	0°„C	RU	RU	No Ammonia	45	2022	1.32892327682948
D2	4°„C	4°„C	NONE	4°„C	Ammonia	100	2022	2.95316283739885
D3	6°„C	6°„C	NONE		Ammonia	191	2022	5.64054101943181
D4	2°„C	2°„C	NONE		Ammonia	135	2022	3.98676983048845
D5	UR	0°„C	UR	UR	Ammonia	193	2022	5.69960427617979
D6	CONTROL	0°„C	NONE	CONTROL	No Ammonia	168	2022	4.96131356683007
D7	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	35	2022	1.0336069930896
D8	UR	0°„C	UR	UR	No Ammonia	206	2022	6.08351544504164
D9	6°„C	6°„C	NONE		No Ammonia	76	2022	2.24440375642313
D10	CONTROL	0°„C	NONE	CONTROL	Ammonia	87	2022	2.569251668537
D11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	42	2022	1.24032839170752
D12	4°„C	4°„C	NONE	4°„C	No Ammonia	80	2022	2.36253026991908
E1	4°„C	4°„C	NONE	4°„C	No Ammonia	115	2022	3.39613726300868
E2	7°„C	7°„C	NONE		Ammonia	82	2022	2.42159352666706
E3	UR	0°„C	UR	UR	No Ammonia	99	2022	2.92363120902487
E4	4°„C	4°„C	NONE	4°„C	Ammonia	146	2022	4.31161774260233
E5	3°„C	3°„C	NONE		Ammonia	521	2022	15.385978382848
E6	RU	0°„C	RU	RU	Ammonia	303	2022	8.94808339731853
E7	4°„C	4°„C	NONE	4°„C	Ammonia	146	2022	4.31161774260233
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	159	2022	4.69552891146418
E9	2°„C	2°„C	NONE		Ammonia	288	2022	8.5051089717087
E10	2°„C	2°„C	NONE		No Ammonia	452	2022	13.3482960250428
E11	3°„C	3°„C	NONE		Ammonia	186	2022	5.49288287756187
E12	UR	0°„C	UR	UR	Ammonia	67	2022	1.97861910105723
F1	RU	0°„C	RU	RU	Ammonia	70	2022	2.0672139861792
F2	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	105	2022	3.1008209792688
F3	4°„C	4°„C	NONE	4°„C	Ammonia	98	2022	2.89409958065088
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	67	2022	1.97861910105723
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	81	2022	2.39206189829307
F6	5°„C	5°„C	NONE		Ammonia	171	2022	5.04990845195204
F7	8°„C	8°„C	NONE		Ammonia	435	2022	12.846258342685
F8	2°„C	2°„C	NONE		No Ammonia	82	2022	2.42159352666706
F9	RU	0°„C	RU	RU	No Ammonia	83	2022	2.45112515504105
F10	6°„C	6°„C	NONE		Ammonia	77	2022	2.27393538479712
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	120	2022	3.54379540487863
F12	2°„C	2°„C	NONE		Ammonia	147	2022	4.34114937097632
G1	2°„C	2°„C	NONE		No Ammonia	28	2022	0.826885594471679
G2	1°„C	1°„C	NONE		Ammonia	156	2022	4.60693402634221
G3	2°„C	2°„C	NONE		No Ammonia	103	2022	3.04175772252082
G4	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	101	2022	2.98269446577284
G5	3°„C	3°„C	NONE		No Ammonia	100	2022	2.95316283739885
